"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"ud1618d-q","PLEASE SPECIFY","PROSÍM UPŘESNĚTE:","УТОЧНИТЕ, КАКИЕ","VEUILLEZ PRÉCISER","VÄNLIGEN SPECIFICERA","VEUILLEZ PRÉCISER ","VEUILLEZ PRÉCISER","אנא פרט","ESPECIFIQUE","자세하게 적어주십시오.","PLEASE SPECIFY","PROSZĘ OKREŚLIĆ","BITTE GENAU ANGEBEN","PLEASE SPECIFY","HURDAN:","SPECIFICARE","BITTE GENAU ANGEBEN","PLEASE SPECIFY","Millainen?","ESPECIFIQUE","يرجى التحديد","LÜTFEN BELİRTİN","ESPECIFICAR","LEG UIT","VEUILLEZ PRÉCISER","KÉRJÜK, JELLEMEZZE","Specificeer"
"f936556-q","Capture spontaneous expressions of the child concerning the appearance of the<br>
suspension. The expression indicates that the appearance is …","Zapište spontánní výrazy dítěte ohledně vzhledu suspenze. Výrazy svědčí o tom, že vzhled je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи с внешним видом суспензии. Оно указывает на оценку внешнего вида...","Relevez les expressions spontanées de l’enfant concernant l’apparence de la suspension. L’expression indique que l’apparence est...","Beskriv barnets spontana uttryck när det gäller suspensionens utseende. Uttrycket tyder på att suspensionens utseende är: …","Notez les expressions spontanées de l’enfant concernant l’apparence de la suspension. L’expression indique que l’aspect est …","Saisir les expressions spontanées de l’enfant concernant l’aspect de la suspension. L’expression indique que l’aspect est …","תיעוד התבטאויות ספונטניות של הילד לגבי מראה התרחיף. ההתבטאות מצביעה על כך שהמראה הוא …","Capte las expresiones espontáneas del niño acerca del aspecto de la suspensión. La expresión indica que el aspecto es ...","현탁액의 외관에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 성상은...","Capture spontaneous expressions of the child concerning the appearance of the
suspension. The expression indicates that the appearance is …","Proszę zanotować spontaniczne reakcje dziecka dotyczące wyglądu zawiesiny. Reakcja wskazuje, że wygląd jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die äußere Beschaffenheit der Suspension. Anhand des Ausdrucks ist die äußere Beschaffenheit ...","Capture spontaneous expressions of the child concerning the appearance of the
suspension. The expression indicates that the appearance is …","Bedöm barnets spontana reaktion på suspensionens utseende. Reaktionen tyder på att utseendet är ...","Osservare le espressioni spontanee del bambino riguardo all’aspetto della sospensione. L’espressione indica che l’aspetto è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die äußere Beschaffenheit der Suspension. Anhand des Ausdrucks ist die äußere Beschaffenheit ...","Capture spontaneous expressions of the child concerning the appearance of the
suspension. The expression indicates that the appearance is …","Arvioi lapsen spontaania reaktiota suspension ulkonäköön. Reaktio viittaa siihen, että ulkonäkö on...","Capte expressões espontâneas da criança relativas à aparência da suspensão. A expressão indica que a aparência é...","التقط التعبيرات التلقائية للطفل فيما يتعلق بمظهر المعلق. يشير التعبير إلى أن المظهر العام...","Çocuğun süspansiyonun görünüşüne yönelik spontane ifadelerine dikkat edin. İfade, görünüşün ... olduğunu göstermektedir:","Capturar expresiones espontáneas del niño/a sobre el aspecto de la suspensión. La expresión indica que el aspecto es...","Let op spontane uitdrukkingen van het kind met betrekking tot het uiterlijk van de suspensie.  De uitdrukking geef aan dat het uiterlijk ….. is","Collectez les expressions spontanées de l’enfant concernant l’apparence du traitement en suspension orale.","Jegyezze fel a gyermeknek a szuszpenzió küllemére vonatkozó spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy a küllem...","Leg de spontane uitingen van het kind vast met betrekking tot de suspensie De uitdrukking geeft aan dat de uiterlijk is …"
"f936556-f936556_t246afa-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"f936556-f936556_d272aef-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"f936556-f936556_t76eb2d-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"f936556-f936556_p650f5d-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"f936556-f936556_nd21b94-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"f936556-f936556_nd227d6-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"s494c59-q","Capture spontaneous expressions of the child concerning the smell of the<br>
suspension. The expression indicates that the smell is …","Zapište spontánní výrazy dítěte ohledně vůně suspenze. Výrazy svědčí o tom, že vůně je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи с запахом суспензии. Оно указывает на оценку запаха...","Relevez les expressions spontanées de l’enfant concernant l’odeur de la suspension. L’expression indique que l’odeur est...","Beskriv barnets spontana uttryck när det gäller suspensionens lukt. Uttrycket tyder på att suspensionen luktar: …","Notez les expressions spontanées de l’enfant concernant l’odeur de la suspension. L’expression indique que l’odeur est …","Saisir les expressions spontanées de l’enfant concernant l’odeur de la suspension. L’expression indique que l’odeur est …","תיעוד התבטאויות ספונטניות של הילד לגבי ריח התרחיף. ההתבטאות מצביעה על כך שהריח הוא …","Capte las expresiones espontáneas del niño acerca del olor de la suspensión. La expresión indica que el olor es ...","현탁액의 냄새에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 냄새는...","Capture spontaneous expressions of the child concerning the smell of the
suspension. The expression indicates that the smell is …","Proszę zanotować spontaniczne reakcje dziecka dotyczące zapachu zawiesiny. Reakcja wskazuje, że zapach jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Geruch der Suspension. Anhand des Ausdrucks ist der Geruch ...","Capture spontaneous expressions of the child concerning the smell of the
suspension. The expression indicates that the smell is …","Bedöm barnets spontana reaktion på suspensionens doft. Reaktionen tyder på att doften är ...","Osservare le espressioni spontanee del bambino riguardo all’odore della sospensione. L’espressione indica che l’odore è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Geruch der Suspension. Anhand des Ausdrucks ist der Geruch ...","Capture spontaneous expressions of the child concerning the smell of the
suspension. The expression indicates that the smell is …","Arvioi lapsen spontaania reaktiota suspension hajuun. Reaktio viittaa siihen, että haju on...","Capte expressões espontâneas da criança sobre o cheiro da suspensão. A expressão indica que o cheiro é...","التقط التعبيرات التلقائية للطفل فيما يتعلق برائحة المعلق. يشير التعبير إلى أن الرائحة...","Çocuğun süspansiyonun kokusuna yönelik spontane ifadelerine dikkat edin. İfade, kokunun ... olduğunu göstermektedir:","Capturar expresiones espontáneas del niño/a sobre el olor de la suspensión. La expresión indica que el olor es...","Let op spontane uitdrukkingen van het kind met betrekking tot de geur van de suspensie.  De uitdrukking geef aan dat de geur ….. is","Collectez les expressions spontanées de l’enfant concernant l’odeur du traitement en suspension orale.","Jegyezze fel a gyermeknek a szuszpenzió szagára vonatkozó spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy a szag...","Leg de spontane uitingen van het kind vast met betrekking tot de suspensie De uitdrukking geeft aan dat de geur is …"
"s494c59-s494c59_t8e4c26-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"s494c59-s494c59_s1b6a6d-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"s494c59-s494c59_fd16bb3-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"s494c59-s494c59_v995ad1-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"s494c59-s494c59_s36f372-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"s494c59-s494c59_te71e14-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"t7ed1d0-q","Capture spontaneous expressions of the child concerning the taste of the suspension<br/>(just right after having the study medication dose). The expression indicates that the<br/>taste is …","Zapište spontánní výrazy dítěte ohledně chuti suspenze (ihned po podání dávky). Výrazy svědčí o tom, žechuť je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи со вкусом суспензии (сразу после приема исследуемого препарата). Оно указывает на оценку вкуса...","Relevez les expressions spontanées de l’enfant concernant le goût de la suspension (juste après l’administration du médicament à l’étude). L’expression indique que
le goût est...
","Beskriv barnets spontana uttryck när det gäller suspensionens smak (direkt efter intag av studieläkemedlet). Uttrycket tyder på att den smakar: …","Notez les expressions spontanées de l’enfant concernant le goût de la suspension (juste après avoir pris la dose du médicament de l’étude). L'expression indique que le goût est ……","Saisir les expressions spontanées de l’enfant concernant le goût de la suspension (immédiatement après la prise de la dose du médicament de l’étude). L’expression indique que le goût est …","תיעוד התבטאויות ספונטניות של הילד לגבי טעם התרחיף (מיד לאחר נטילת מנת תרופת המחקר). ההתבטאות מצביעה על כך ש:","Capte las expresiones espontáneas del niño acerca del gusto de la suspensión (justo después de haber tomado la dosis del medicamento). La expresión indica que el gusto es ...","현탁액의 맛에 대한 아동의 자발적 표정을 포착해 주십시오. (시험약 복용 직후). 그 표현이 나타내는 맛은...","Capture spontaneous expressions of the child concerning the taste of the suspension (just right after having the study medication dose). The expression indicates that the taste is …","Proszę zanotować spontaniczne reakcje dziecka dotyczące smaku zawiesiny (bezpośrednio po podaniu dawki leku badanego). Reakcja wskazuje, że smak jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Geschmack der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation). Anhand des Ausdrucks ist der Geschmack ...","Capture spontaneous expressions of the child concerning the taste of the suspension (just right after having the study medication dose). The expression indicates that the taste is …","Bedöm barnets spontana reaktion på suspensionens smak (strax efter intaget av en dos av prövningsläkemedlet). Reaktionen tyder på att smaken är ...","Osservare le espressioni spontanee del bambino riguardo al sapore della sospensione (immediatamente dopo l’assunzione della dose di farmaco in studio). L’espressione indica cheil sapore è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf den Geschmack der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation). Anhand des Ausdrucks ist der Geschmack ...","Capture spontaneous expressions of the child concerning the taste of the suspension (just right after having the study drug dose). The expression indicates that the taste is …","Arvioi lapsen spontaania reaktiota suspension makuun (heti tutkimuslääkeannoksen ottamisen jälkeen). Reaktio viittaa siihen, että maku on... ","Capte expressões espontâneas da criança relativas ao sabor da suspensão (logo após ter tomado a dose de medicação do estudo). A expressão indica que osabor é...","التقط التعبيرات التلقائية للطفل فيما يتعلق بمذاق المعلق
 (مباشرة بعد تناول جرعة الدواء قيد الدراسة). يشير التعبير إلى أن المذاق...","Çocuğun süspansiyonun tadına yönelik spontane ifadelerine dikkat edin (çalışma ilacı dozunu aldıktan hemen sonra). İfade, tadın... olduğunu göstermektedir:","Capturar expresiones espontáneas del niño/a sobre el sabor de la suspensión(justo después de recibir la dosis delamedicacióndel ensayo). La expresión indica que elsabor es...","Let op spontane uitdrukkingen van het kind met betrekking tot de smaak van de suspensie (vlak na toediening van het studiegeneesmiddel).  De uitdrukking geef aan dat de smaak ….. is","Collectez les expressions spontanées de l’enfant concernant le goût du traitement en suspension orale (juste après avoir pris la dose de médicament). ","Jegyezze fel a gyermeknek a szuszpenzió ízére vonatkozó (közvetlenül a vizsgálati készítmény adagjának bevétele után megfigyelt) spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy az íz…","Leg de spontane uitdrukking van het kind vast over de smaak van de suspensie (vlak na de dosering van de studiemedicatie). De uitdrukking geeft aan dat de smaak …"
"t7ed1d0-t7ed1d0_fcd018a-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"t7ed1d0-t7ed1d0_n20665e-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"t7ed1d0-t7ed1d0_q10e8d6-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"t7ed1d0-t7ed1d0_gaaa67f-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"t7ed1d0-t7ed1d0_bf662b4-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"t7ed1d0-t7ed1d0_b949f53-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"z74909a-q","The suspension ….<br/><br>
Feels like sand","Suspenze vyvolává pocit, který lze popsat jako ... písek","Суспензия ощущается как... Песок","La suspension est… Sableuse","Suspensionen ... Känns som sand","La suspension donne une … Sensation de sable","La suspension …. Est comme du sable","התרחיף …. מרגיש כמו חול","La suspensión ... Sabe como arena","현탁액은... 모래 같은 느낌","The suspension ….
Feels like sand","Zawiesina… Jest jak piasek","Die Suspension … fühlt sich sandig an","The suspension ….
Feels like sand","Suspensionen ...  Känns sandig","La sospensione... Sembra sabbia","Die Suspension … fühlt sich sandig an","The suspension ….
Feels like sand","Suspensio... Tuntuu rakeiselta","A suspensão... Parece areia","المعلق… له ملمس الرمل","Süspansiyon .... Kum gibi bir his bırakıyor","La suspensión produce una.... Sensación arenosa","De suspensie ... Voelt aan als zand","La suspension …. Est comme du sable","A szuszpenzió... Homokszerű","De Suspensie  …. Voelt als zand"
"z74909a-z74909a_n9c9aa7-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"z74909a-z74909a_h2b95e6-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"obc898d-q","The suspension has a  ….<br/><br>
Not assessable Taste","Suspenze má.... Chuť nelze vyhodnotit","Вкус суспензии... Вкус не поддается оценке ","La suspension a un …. Goût non évaluable ","Suspensionen har en…  Annan smak","La suspension a un …. Goût non évaluable ","La suspension a un …. Goût non évaluable ","לתרחיף יש …. טעם לא ניתן להערכה","La suspensión tiene …. El gusto no se puede evaluar ","현탁액의 맛은.... 평가할 수 없는 맛 ","The suspension has a  ….
Not assessable Taste","Zawiesina ma… Smak niemożliwy do określenia ","Die Suspension hat einen … Geschmack nicht bewertbar ","The suspension has a  ….
Not assessable Taste","Suspensionen har en ... Kan inte bedöma smaken ","La sospensione ha un... Sapore non valutabile","Die Suspension hat einen … Geschmack nicht bewertbar ","The suspension has a  ….
Not assessable Taste","Suspension maku on … Ei arvioitavissa oleva maku ","A suspensão tem um... Sabor não avaliável","يمتلك المعلقمذاقًا... لم أستطع تقييم المذاق ","Süspansiyon .... Ağızda bıraktığı tat değerlendirilemiyor","La suspensión tiene un .... Sabor no evaluable","De suspensie smaakt Smaak niet beoordeelbaar ","La suspension a un goût Non évaluable ","A szuszpenzió íze... Nem értékelhető íz ","De suspensie is …. Niet beoordeelbare smaak "
"obc898d-obc898d_n401b58-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"obc898d-obc898d_jc4d5d7-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"r6873de-q","The suspension has a  ….<br/><br>
Spicy Taste","Suspenze má.... ostrou chuť","Вкус суспензии... Острый ","La suspension a un …. Goût épicé ","Suspensionen har en ... Kryddig smak ","La suspension a un …. Goût épicé ","La suspension a un …. Goût épicé ","לתרחיף יש ….  טעם חריף","La suspensión tiene …. Gusto picante ","현탁액의 맛은.... 매운맛 ","The suspension has a  ….
Spicy Taste","Zawiesina ma… Ostry smak ","Die Suspension hat einen … würzigen Geschmack ","The suspension has a  ….
Spicy Taste","Suspensionen har en ... Kryddig smak ","La sospensione ha un... Sapore piccante","Die Suspension hat einen … würzigen Geschmack ","The suspension has a  ….
Spicy Taste","Suspension maku on … Mausteinen ","A suspensão tem um... Sabor picante","يمتلك المعلقمذاقًا...  مذاق حار","Süspansiyonun ....bir tadı var. Baharatlı","La suspensión tiene un .... Sabor picante","De suspensie smaakt Pikant ","La suspension a un goût Epicé ","A szuszpenzió íze... Csípős ","De suspensie is …. Pittige smaak "
"r6873de-r6873de_v7b740d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"r6873de-r6873de_yc9bfae-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"td7cf4d-q","The suspension has a  ….<br/><br>
Salty Taste","Suspenze má.... slanou chuť ","Вкус суспензии... Соленый ","La suspension a un …. Goût salé ","Suspensionen har en ... Salt smak ","La suspension a un …. Goût salé ","La suspension a un …. Goût salé ","לתרחיף יש …. טעם מלוח","La suspensión tiene …. Gusto salado ","현탁액의 맛은.... 짠맛","The suspension has a  ….
Salty Taste","Zawiesina ma… Słony smak ","Die Suspension hat einen … salzigen Geschmack ","The suspension has a  ….
Salty Taste","Suspensionen har en ... Salt smak ","La sospensione ha un... Sapore salato ","Die Suspension hat einen … salzigen Geschmack ","The suspension has a  ….
Salty Taste","Suspension maku on … Suolainen ","A suspensão tem um... Sabor salgado ","يمتلك المعلقمذاقًا... مذاق مالح","Süspansiyonun ....bir tadı var. Tuzlu ","La suspensión tiene un .... Sabor salado ","De suspensie smaakt Zout ","La suspension a un goût Salé ","A szuszpenzió íze... Sós ","De suspensie is …. Zoutige smaak "
"td7cf4d-td7cf4d_va7de97-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"td7cf4d-td7cf4d_v6737ca-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"f537a1f-q","The suspension has a  ….<br/><br>
Sour Taste","Suspenze má.... kyselou chuť","Вкус суспензии... Кислый","La suspension a un …. Goût acidulé","Suspensionen har en ... Sur smak","La suspension a un …. Goût aigre","La suspension a un …. Goût acide","לתרחיף יש …. טעם חמוץ","La suspensión tiene …. Gusto ácido","현탁액의 맛은.... 신맛","The suspension has a  ….
Sour Taste","Zawiesina ma… Kwaśny smak","Die Suspension hat einen … sauren Geschmack","The suspension has a  ….
Sour Taste","Suspensionen har en ... Sur smak","La sospensione ha un... Sapore aspro","Die Suspension hat einen … sauren Geschmack","The suspension has a  ….
Sour Taste","Suspension maku on … Hapan","A suspensão tem um... Sabor azedo","يمتلك المعلقمذاقًا... مذاق حامضي","Süspansiyonun ....bir tadı var. Ekşi","La suspensión tiene un .... Sabor agrio","De suspensie smaakt Zuur","La suspension a un goût Acide","A szuszpenzió íze... Savanyú","De suspensie is …. Zure smaak"
"f537a1f-f537a1f_r73f4d5-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"f537a1f-f537a1f_m37310e-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"le2ea4b-q","The suspension has a  ….<br/><br>
Sweet Taste","Suspenze má.... sladkou chuť","Вкус суспензии... Сладкий","La suspension a un …. Goût sucré","Suspensionen har en ... Söt smak","La suspension a un …. Goût sucré","La suspension a un …. Goût sucré","לתרחיף יש …. טעם מתוק","La suspensión tiene …. Gusto dulce","현탁액의 맛은.... 단맛","The suspension has a  ….
Sweet Taste","Zawiesina ma… Słodki smak","Die Suspension hat einen … süßen Geschmack","The suspension has a  ….
Sweet Taste","Suspensionen har en ... Söt smak","La sospensione ha un... Sapore dolce","Die Suspension hat einen … süßen Geschmack","The suspension has a  ….
Sweet Taste","Suspension maku on … Makea","A suspensão tem um... Sabor doce","يمتلك المعلقمذاقًا... مذاق حلو","Süspansiyonun ....bir tadı var. Tatlı","La suspensión tiene un .... Sabor dulce","De suspensie smaakt Zoet","La suspension a un goût Sucré","A szuszpenzió íze... Édes","De suspensie is …. Zoete smaak"
"le2ea4b-le2ea4b_a7656a0-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"le2ea4b-le2ea4b_q423932-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"yc9ca3a-q","The suspension has a  ….<br/><br>
Bitter Taste","Suspenze má.... hořkou chuť","Вкус суспензии... Горький","La suspension a un …. Goût amer","Suspensionen har en ... Bitter smak","La suspension a un …. Goût amer","La suspension a un …. Goût amer","לתרחיף יש …. טעם מר","La suspensión tiene …. Gusto amargo","현탁액의 맛은.... 쓴맛","The suspension has a  ….
Bitter Taste","Zawiesina ma… Gorzki smak","Die Suspension hat einen … bitteren Geschmack","The suspension has a  ….
Bitter Taste","Suspensionen har en ... Besk smak","La sospensione ha un... Sapore amaro","Die Suspension hat einen … bitteren Geschmack","The suspension has a  ….
Bitter Taste","Suspension maku on … Kitkerä","A suspensão tem um... Sabor amargo","يمتلك المعلقمذاقًا... مذاق مر","Süspansiyonun ....bir tadı var. Acı","La suspensión tiene un .... Sabor amargo","De suspensie smaakt Bitter","La suspension a un goût Amer","A szuszpenzió íze... Keserű","De suspensie is …. Bitter smaak"
"yc9ca3a-yc9ca3a_g9c918d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
